"channel","stage_name","stage_order","sessions"
"Organic","Visit","1","666244"
"Ads","Visit","1","666294"
"Social","Visit","1","333913"
"Email","Visit","1","333549"
"Organic","Browse","2","333203"
"Ads","Browse","2","333577"
"Social","Browse","2","166962"
"Email","Browse","2","166970"
"Organic","Add to Cart","3","288173"
"Ads","Add to Cart","3","288474"
"Social","Add to Cart","3","144459"
"Email","Add to Cart","3","144225"
"Organic","Purchase","4","12777"
"Ads","Purchase","4","12875"
"Social","Purchase","4","6463"
"Email","Purchase","4","6462"
